handle,num_posts,followers,following,created_at,is_recent_account,is_following_ratio_high,has_duplicate_posts
salesregy.bsky.social,3,164,143,2024-04-11T01:43:31.724Z,False,False,False
pamesuaminica.bsky.social,4,1397,846,2023-07-03T11:43:37.852Z,False,False,False
cyara2001.bsky.social,8,3051,2937,2024-04-10T12:37:10.410Z,False,False,False
monalisablogue1.bsky.social,1,1623,1784,2024-08-29T01:31:51.019Z,False,False,False
miracanjuba.bsky.social,1,247,155,2023-12-04T20:40:46.215Z,False,False,False
cyberencosto.bsky.social,7,856,3196,2024-08-31T03:30:55.907Z,False,False,False
andrergomes.bsky.social,1,283,434,2023-07-14T02:08:24.443Z,False,False,False
obsol.bsky.social,1,730,405,2023-07-25T11:34:06.417Z,False,False,False
cyokota.bsky.social,1,76,62,2024-04-08T23:22:37.741Z,False,False,False
mistlibz.bsky.social,2,404,241,2023-05-10T23:59:29.900Z,False,False,False
alanstardust.bsky.social,1,80,74,2023-07-29T00:09:18.711Z,False,False,False
larouge.bsky.social,1,1388,1293,2024-04-09T15:03:32.395Z,False,False,True
jutrinci.bsky.social,1,23,42,2023-07-03T14:44:46.093Z,False,False,False
rosanaa1.bsky.social,1,13,13,2024-04-12T23:11:53.950Z,False,False,False
calderondre.bsky.social,1,601,831,2024-09-01T17:36:32.396Z,False,False,False
0240mbm.bsky.social,1,31,4,2024-09-06T22:02:51.517Z,False,False,False
1989er.bsky.social,6,242,98,2023-04-21T23:40:50.798Z,False,False,False
sempreforadafofoca.bsky.social,1,47,23,2024-09-02T14:44:18.699Z,False,False,False
max-oliveira.bsky.social,1,243,332,2024-08-31T17:42:36.802Z,False,False,False
afonsogomes.bsky.social,1,30,26,2025-06-13T14:46:10.441Z,False,False,False
m4r1l14.bsky.social,1,599,757,2024-04-12T23:04:02.999Z,False,False,False
epocanegocios.bsky.social,2,283,3,2024-09-01T13:51:00.399Z,False,False,False
mariluparreiras.bsky.social,5,2424,1277,2024-04-09T12:43:57.695Z,False,False,True
magalud1.bsky.social,4,1426,1424,2023-07-03T18:16:49.713Z,False,False,False
bbcnews-br-bot-rss.adilson.net.br,1,4617,3,2023-08-26T19:08:58.574Z,False,False,True
bsbdf.grf.xyz,4,39,1,2024-09-04T19:49:32.535Z,False,False,False
orcurbano.bsky.social,2,691,458,2023-07-24T04:30:43.673Z,False,False,False
pablo-alsina.bsky.social,4,266,112,2024-04-10T18:01:43.660Z,False,False,False
xyz2050.bsky.social,1,444,144,2024-10-20T19:24:03.007Z,False,False,False
jutrajano24.bsky.social,2,663,284,2024-04-14T12:06:52.309Z,False,False,False
valtinhomf.bsky.social,9,899,312,2023-05-09T02:43:17.778Z,False,False,False
stror.bsky.social,2,129,117,2024-02-09T02:56:11.728Z,False,False,False
phantomhve.bsky.social,1,136,196,2024-07-04T08:02:01.778Z,False,False,False
schrarstzhaupt.bsky.social,9,11245,3068,2023-04-08T01:52:55.771Z,False,False,False
radioproletario.bsky.social,3,3675,2884,2023-08-05T12:16:15.471Z,False,False,False
wfs25firmino.bsky.social,3,323,308,2024-04-13T11:20:36.369Z,False,False,False
inanastar.bsky.social,1,417,365,2024-08-23T17:30:05.321Z,False,False,False
delta2kbr.dev,1,1097,564,2023-07-15T14:25:54.923Z,False,False,False
robsantos.bsky.social,1,83,75,2023-07-01T20:38:14.204Z,False,False,False
klaudioca.bsky.social,1,153,151,2023-07-03T14:23:37.457Z,False,False,False
monotonavida.bsky.social,13,958,496,2023-07-03T10:15:17.722Z,False,False,False
juarezantonio.bsky.social,5,2312,2176,2024-08-29T18:28:02.120Z,False,False,False
2kziin.bsky.social,1,77,75,2024-08-31T04:42:39.098Z,False,False,False
thiagocrocha.bsky.social,1,561,573,2024-01-05T21:04:45.853Z,False,False,False
renancalheiros.bsky.social,2,3980,4,2024-04-15T19:29:05.006Z,False,False,False
madduteixeira.bsky.social,1,2169,1082,2023-11-03T19:17:52.173Z,False,False,False
perereco.bsky.social,1,10185,303,2023-05-11T01:48:34.051Z,False,False,False
marciodrosa.bsky.social,2,53,69,2023-07-03T14:47:07.112Z,False,False,False
gabrielittoa.bsky.social,8,48,7,2024-08-30T22:52:10.685Z,False,False,False
pinkd3vil.bsky.social,3,60,83,2025-07-15T10:36:59.931Z,False,False,False
alexribas.bsky.social,1,22,34,2024-08-31T18:00:14.998Z,False,False,False
todospelasaude.bsky.social,15,1007,26,2024-08-31T13:25:54.900Z,False,False,False
maladena.bsky.social,2,1293,263,2023-04-28T05:26:38.518Z,False,False,False
lerilore.bsky.social,1,8,9,2024-09-07T21:23:18.419Z,False,False,False
janetefrugoli.bsky.social,1,500,750,2024-08-31T12:55:09.602Z,False,False,False
nelsonwedekin.bsky.social,1,191,125,2024-08-31T17:44:47.709Z,False,False,False
bitnautas.com.br,1,1458,610,2024-04-08T05:29:36.941Z,False,False,False
g1-bot-rss.adilson.net.br,101,7163,4,2023-08-26T16:34:06.053Z,False,False,False
jngomes.bsky.social,1,229,225,2024-08-31T00:29:47.592Z,False,False,False
karolacerola.bsky.social,1,143,154,2024-09-03T00:59:31.304Z,False,False,False
goo02.bsky.social,2,166,58,2025-06-26T13:38:30.331Z,False,False,False
raptorhawk.bsky.social,2,151,101,2023-08-09T13:57:34.390Z,False,False,False
